Current local time and date: Sun Nov 10 20:01:25 2013
[  NORMAL ]  Creating simple 4x4 lattice...
[  NORMAL ]  Creating geometry...
[  NORMAL ]  Number of flat source regions: 1280
[  NORMAL ]  Reading tracks in from file
[  NORMAL ]  Initializing track boundary conditions...
[  NORMAL ]  Converging the source...
[  NORMAL ]  Iteration 258: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 259: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 260: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 261: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 262: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 263: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 264: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 265: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 266: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 267: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 268: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 269: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 270: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 271: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 272: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 273: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 274: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 275: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 276: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 277: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 278: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 279: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 280: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 281: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 282: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 283: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 284: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 285: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 286: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 287: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 288: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 289: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 290: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 291: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 292: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 293: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 294: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 295: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 296: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 297: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 298: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 299: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 300: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 301: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 302: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 303: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 304: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 305: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 306: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 307: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 308: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 309: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 310: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 311: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 312: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 313: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 314: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 315: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 316: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 317: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 318: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 319: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 320: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 321: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 322: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 323: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 324: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 325: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 326: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 327: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 328: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 329: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 330: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 331: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 332: 	k_eff = 1.253124	res = 4.908E-02
[  NORMAL ]  Iteration 333: 	k_eff = 1.253124	res = 4.908E-02
